# noise|ノイズ・不規則さ|Noise & irregularity|模様、位置、流れに自然な揺らぎを加える
カールノイズ|Curl Noise|渦を持つ流れ場で煙や魔力の粒子をうねらせる
パーリンノイズ|Perlin / Gradient Noise|連続した不規則さで地形、雲、揺れを作る
シンプレックスノイズ|Simplex Noise|単体格子による滑らかな多次元ノイズを作る
バリューノイズ|Value Noise|格子点の乱数値を補間して柔らかい模様を作る
ウォーリーノイズ|Worley / Cellular Noise|特徴点への距離から細胞や石の境界を作る
フラクタルブラウン運動|Fractal Brownian Motion / fBm|大きさの異なるノイズを重ねて細部を増やす
タービュランスノイズ|Turbulence Noise|折り返したノイズを重ねて筋や雲を作る
リッジノイズ|Ridged Multifractal Noise|ノイズの稜線を強調して山脈を作る
ドメインワーピング|Domain Warping|参照座標をノイズで歪めて炎や大理石模様を作る
周期ノイズ|Periodic / Tileable Noise|端がつながるノイズで継ぎ目のない素材を作る
# curves|曲線・補間|Curves & interpolation|形を決める曲線と進み方を制御する補間
エルミート曲線|Cubic Hermite Curve|両端の位置と接線で曲がる軌道を指定する
ベジェ曲線|Bézier Curve|制御点を動かして軌跡やUIの曲がり方を調整する
カトマル・ロムスプライン|Catmull–Rom Spline|指定点を通る滑らかな経路を作る
Bスプライン|B-Spline|制御点の局所的な調整で長い滑らかな曲線を作る
NURBS|Non-Uniform Rational B-Spline|重みとノットを使って円弧などを精密に表す
弧長パラメータ化|Arc-Length Parameterization|曲線のパラメータと弧長を対応させ、等速移動や等間隔配置に使う
線形補間・値域変換|Lerp / Inverse Lerp / Remap|値を混ぜたり範囲を変えて色や大きさへ対応させる
スムーズステップ|Smoothstep / Smootherstep|両端で滑らかにつながるフェードを作る
イージング|Easing / Back / Bounce / Elastic|時間の進み方を変えて溜めや弾みを付ける
球面線形補間|Slerp / Quaternion Interpolation|回転姿勢を球面上で滑らかにつなぐ
# motion|追従・ばね・群れ|Following, springs & flocks|周囲や目標に応じて毎フレーム動きを決める
指数減衰|Exponential Damping|経過時間に合わせてカメラや照準を目標へ近づける
ばね・ダンパー|Spring–Damper|復元力と減衰で反動や尻尾の弾みを作る
臨界減衰|Critical Damping|線形ばね系で振動する設定としない設定の境界を選び、速く落ち着く追従を作る
PD・PID制御|PD / PID Controller|誤差とその変化などから砲塔や乗り物の操作量を決める
シーク・アライバル|Seek / Arrival|目標へ向かい到着前に減速させる
予測追跡|Pursuit / Interception|相手の未来位置を予測して追跡する
ワンダー|Wander Steering|進行方向を連続的に揺らして自然に徘徊させる
ボイド|Boids / Flocking|分離、整列、結合で鳥や魚の群れを動かす
フローフィールド追従|Flow-Field Following|空間に置いた矢印に沿って粒子や群集を進める
障害物回避操舵|Obstacle Avoidance Steering|進行先の障害物を避ける方向に曲がる
# particles|パーティクル・軌跡|Particles & trails|粒子の描き方、寿命、軌跡を指定する
ビルボード|Billboard|カメラに向けた板で煙や光点を描く
ストレッチビルボード|Stretched Billboard|速度方向に板を伸ばして雨や高速火花を描く
リボン・トレイル|Ribbon / Trail Renderer|点列を帯にして剣閃やレーザーの残光を描く
フリップブック|Flipbook / Texture Sheet Animation|連番画像を切り替えて爆発や炎を動かす
メッシュパーティクル|Mesh Particles|粒子を立体として描いて破片や葉を飛ばす
ソフトパーティクル|Soft Particles / Depth Fade|深度差で接地部分を薄くして煙の食い込みを和らげる
寿命カーブ|Size / Color / Alpha over Lifetime|粒子の年齢で大きさ、色、透明度を変える
サブエミッター|Sub-Emitters / Particle Events|衝突や消滅から次の粒子を発生させる
サーフェス放出|Surface / Mesh Emission|物体の表面から粒子を出して燃焼や砂化を表す
速度方向への整列|Velocity Alignment|粒子の長軸を進む向きに合わせる
# materials|UV・マテリアル表現|UV & materials|表面の参照座標と模様を変える
UVスクロール|UV Scrolling / Panner|テクスチャ座標をずらして帯や炎を流す
極座標変換|Polar Coordinates|位置を距離と角度で扱い魔法陣や渦を描く
トライプラナー|Triplanar / World-Aligned Mapping|複数方向から投影して岩や地形の継ぎ目を減らす
フローマップ|Flow Map|方向を書いた画像に沿って川や溶岩の模様を流す
パララックスマッピング|Parallax Mapping / Bump Offset|高さに応じてUVをずらし奥行きを見せる
頂点変位|Vertex Displacement / World Position Offset|頂点を動かして風や波打つ表面を作る
ディゾルブ|Dissolve / Noise Threshold Mask|ノイズの閾値で面を切り抜き消滅を表す
画面歪み・屈折|Screen-Space Distortion / Refraction|背景の参照位置をずらし、熱気や屈折を画面上で近似する
テクスチャボミング|Texture Bombing|小さな模様を散らしてテクスチャの反復を隠す
チャンネルパッキング|Channel Packing / Texture Masks|RGBAへ別々のマスクを詰めて材質を制御する
# fields|距離場・暗黙形状|Distance fields & implicit shapes|空間の数値から形と境界を表す
符号付き距離場|Signed Distance Field / SDF|表面までの距離と内外で形を表す
スフィアトレーシング|Sphere Tracing|正しい距離または保守的な下限を使って光線を進め、表面を探す
CSG|Constructive Solid Geometry|形の和、差、交差で穴やくり抜きを作る
スムーズユニオン|Smooth Union / Smooth Minimum|距離場を滑らかに合成して接合部を丸くつなぐ。合成後の値は厳密な距離とは限らない
メタボール|Metaballs / Implicit Surfaces|影響場の等値面から融合する液滴を描く
空間反復|Domain Repetition / Polar Repetition|座標を折り返して形を繰り返す
座標変形|Domain Deformation / Twist / Bend|評価する座標をねじり、形を曲げる
距離場の勾配法線|SDF Gradient / Normal Estimation|距離の変化から表面の向きを求める
